web-scraper-order,web-scraper-start-url,pages,pages-href,title,Description ,Application Status 
1664864486-203,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Emily McPherson EMBA Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/emily-mcpherson-emba,Emily McPherson EMBA Scholarship,For students commencing the Executive Master of Business Administration; worth 50% or 100% tuition fees paid.,Applications now closed
1664864488-204,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Emeritus Professor John Jackson Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/john-jackson,Emeritus Professor John Jackson Scholarship,"For students commencing a diploma or degree who can demonstrate financial disadvantage and other circumstance/s which impact their ability to study; worth up to $15,000.",Applications are now open
1664864491-205,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Emeritus Professor David Beanland Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/david-beanland,Emeritus Professor David Beanland Scholarship,"For Bachelor of Engineering students who can demonstrate academic achievement and circumstance/s which impact their ability to study; worth up to $7,000.",Applications are now open
1664864493-206,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Emeritus Professor Brian Smith AO Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/brian-smith,Emeritus Professor Brian Smith AO Scholarship,For current or former refugee students who can demonstrate disadvantage; worth $7000.,Applications are now closed
1664864495-207,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Elite Athletes Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/eliteathlete,Elite Athletes Scholarship,"For students who are elite athletes; worth $10,000.",Applications now closed
1664864497-208,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Dwell Village Accommodation Support Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/dwell-village,Dwell Village Accommodation Support Scholarship,"For students who need to relocate to study at RMIT in Melbourne; provides a rental subsidy worth up to $10,890.",Applications are now open
1664864499-209,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Donald Cant Watts Corke Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/donald-cant-watts-corke,Donald Cant Watts Corke Scholarship,"For construction and project management students who can demonstrate disadvantage; worth $7,500.",Applications are now open
1664864502-210,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Dixon-Ward Indigenous Scholarship for Gold and Silversmithing,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/dixon-ward,Dixon-Ward Indigenous Scholarship for Gold and Silversmithing,"If you are an Australian Aboriginal and/or Torres Strait Islander undertaking the Bachelor of Arts (Fine Arts) or B Arts (Fine Arts) (Honours) with your artistic practice being gold or silversmithing, this scholarship could provide assistance for up to three years.",Applications are now open
1664864504-211,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Destination Australia Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/destinationaustralia,Destination Australia Scholarship,"For students enrolled full-time in an aviation program at RMIT’s Bendigo campus; worth up to $15,000",Applications are now open
1664864506-212,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework,Deda Scholarship,https://www.rmit.edu.au/students/careers-opportunities/scholarships/coursework/deda,Deda Scholarship,"For postgraduate by coursework students enrolled full-time in a health-related discipline who can demonstrate disadvantage; worth up to $5,000.",Applications are now open
