web-scraper-order,web-scraper-start-url,links,links-href,title,description ,application status 
1665919152-1,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Zema Energy Studies Scholarship

				
			
		
			
The Zema Energy Studies Scholarship has been established to honour the memory of AEMO’s founding…			
            
            
	    
        
            
                    Applications:  A round per year
                    Total scholarship value: $35,000
                    Number offered:  Up to 2 scholarships",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fzema-energy-studies-scholarship%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fzema-energy-studies-scholarship%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=2rMRk6AOOEFZU2diIlbZKg&profile=_default&rank=225&query=%21padrenull,Zema Energy Studies Scholarship,"The Zema Energy Studies Scholarship has been established to honour the memory of AEMO’s founding Chief Executive Officer, energy reform leader and Monash alumnus Matt Zema, and is designed to support the next generation of leaders to meet Australia's energy sector challenges. It was created with the support of the Council of Australian Governments (COAG) Energy Council and in partnership with the Australian Energy Market Operator (AEMO).",A round per year
1665919157-2,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Zachary Sum Scholarship

				
			
		
			
The Zachary Sum Scholarship as generously supported by Mr Zachary Sum be introduced to support low…			
            
            
	    
        
            
                    Applications:  3 Jan - 16 Feb 2023
                    Total scholarship value: Up to $30,000
                    Number offered:  One scholarship",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fzachary-sum-scholarship-6173%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fzachary-sum-scholarship-6173%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=kaHr49xSOFxvqo9M0%2BL%2Brw&profile=_default&rank=224&query=%21padrenull,Zachary Sum Scholarship,The Zachary Sum Scholarship as generously supported by Mr Zachary Sum be introduced to support low income and/or rural continuing students enrolled in the Bachelor of Pharmacy (Honours)/Master of Pharmacy degree in the Faculty of Pharmacy and Pharmaceutical Sciences at a Monash University campus in Australia.,3 Jan - 16 Feb 2023
1665919160-3,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Women in Information Technology Scholarship

				
			
		
			
At Monash, we support bright young women who wish to study Information Technology. If you are a…			
            
            
	    
        
            
                    Applications:  No application required
                    Total scholarship value: $6000 for one year only
                    Number offered:  Up to 50",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwomen-in-information-technology-scholarship-5600%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwomen-in-information-technology-scholarship-5600%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=%2Ff92zzcSnO%2BKHXCfAbCEfA&profile=_default&rank=223&query=%21padrenull,Women in Information Technology Scholarship,"At Monash, we support bright young women who wish to study Information Technology. If you are a high-achieving student intending to pursue an undergraduate degree at Monash in Information Technology, you may be eligible for this scholarship. No application is required. You will be automatically assessed when you list an approved Monash IT course as a preference in VTAC.",No application required
1665919164-4,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Women in Engineering Scholarship

				
			
		
			
At Monash, we support bright young women who wish to study engineering. If you are a high-achieving …			
            
            
	    
        
            
                    Applications:  No application required
                    Total scholarship value: $6000 for one year only
                    Number offered:  Up to 20",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwomen-in-engineering-scholarship-5583%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwomen-in-engineering-scholarship-5583%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=ek9%2B9awJTGe9rmWP6AqMUw&profile=_default&rank=222&query=%21padrenull,Women in Engineering Scholarship,"At Monash, we support bright young women who wish to study engineering. If you are a high-achieving student intending to pursue an undergraduate degree at Monash in engineering, you may be eligible for this scholarship. No application is required. You will be automatically assessed when you list Monash as a VTAC preference.",No application required
1665919169-5,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Wilson Family Indigenous Scholarship

				
			
		
			
The Wilson Family Indigenous Scholarship be established to recognise the generous philanthropic…			
            
            
	    
        
            
                    Applications:  See how to apply
                    Total scholarship value: Up to $30,000
                    Number offered:  One scholarship",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwilson-family-indigenous-scholarship-6172%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwilson-family-indigenous-scholarship-6172%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=nOe94Fj26obEkZ%2FMoFeCBQ&profile=_default&rank=221&query=%21padrenull,Wilson Family Indigenous Scholarship,The Wilson Family Indigenous Scholarship be established to recognise the generous philanthropic support provided by the Wilson Family via the Jewish Holocaust Centre to Monash University.,See how to apply
1665919174-6,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"William Cooper Indigenous Scholarship

				
			
		
			
The William Cooper Indigenous Scholarships support high-achieving Indigenous Australian students…			
            
            
	    
        
            
                    Applications:  See how to apply
                    Total scholarship value: Up to $54,500
                    Number offered:  Two",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwilliam-cooper-indigenous-scholarship-6116%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwilliam-cooper-indigenous-scholarship-6116%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=ztPudDJFdVgbFgs7EUpqtQ&profile=_default&rank=220&query=%21padrenull,William Cooper Indigenous Scholarship,The William Cooper Indigenous Scholarships support high-achieving Indigenous Australian students with leadership potential to engage with their community and support other Indigenous students to access higher education.,See how to apply
1665919177-7,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Westpac Future Leaders Scholarship

				
			
		
			
Westpac Scholars are everyday people, with an extraordinary drive to find solutions to some…			
            
            
	    
        
            
                    Applications:  opens 15 June 2022; closes 1 September 2022
                    Total scholarship value: Up to $120,000
                    Number offered:  17",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwestpac-future-leaders-scholarship-6061%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwestpac-future-leaders-scholarship-6061%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=MXfSgWqy0NKkH5LwtgAzgA&profile=_default&rank=219&query=%21padrenull,Westpac Future Leaders Scholarship,"Westpac Scholars are everyday people, with an extraordinary drive to find solutions to some of
Australia’s biggest problems and help create a better future.   For many, receiving the scholarship is life changing. Beyond the financial boost, it provides lifelong  access to valuable networking and leadership opportunities to help them reach their potential.",opens 15 June 2022; closes 1 September 2022
1665919181-8,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Westpac Asian Exchange Scholarship

				
			
		
			
Valued at $12,250 each, the Westpac Asian Exchange Scholarship supports students who are interested …			
            
            
	    
        
            
                    Applications:  12 September - 30 November 2022
                    Total scholarship value: $12,250
                    Number offered:  35",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwestpac-asian-exchange-scholarship-5840%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwestpac-asian-exchange-scholarship-5840%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=yJ9lbSdiJBuDR3qhrIACSg&profile=_default&rank=218&query=%21padrenull,Westpac Asian Exchange Scholarship,"Valued at $12,250 each, the Westpac Asian Exchange Scholarship supports students who are interested in Asia, and want to actively contribute to Australia's success in Asia in their chosen field. It presents young Australians with the exciting opportunity to spend up to two semesters studying at a leading Asian university and develop global leadership skills.",12 September - 30 November 2022
1665919185-9,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Walter and Eliza Hall Trust Opportunity Scholarship

				
			
		
			
This scholarship is awarded to current students who are experiencing financial disadvantage and are …			
            
            
	    
        
            
                    Applications:  3 Jan - 16 Feb 2023
                    Total scholarship value: $10,000 per annum
                    Number offered:  Four",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwalter-and-eliza-hall-trust-opportunity-scholarship-5604%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwalter-and-eliza-hall-trust-opportunity-scholarship-5604%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=l%2F0HZDGu%2BaFSzp%2BiatK41Q&profile=_default&rank=217&query=%21padrenull,Walter and Eliza Hall Trust Opportunity Scholarship,"This scholarship is awarded to current students who are experiencing financial disadvantage and are studying one of the listed degrees involving social work, nursing or inclusive education. Two scholarships are offered in the study area of nursing and one each for social work and inclusive education.",3  Jan - 16 Feb 2023
1665919189-10,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship?student=1,"Walter and Eliza Hall Trust Opportunity Disability Scholarship

				
			
		
			
This scholarship has been introduced to support financially disadvantaged students with a diagnosed …			
            
            
	    
        
            
                    Applications:  3 Jan - 16 Feb 2023
                    Total scholarship value: up to $40,000
                    Number offered:  One",https://mon4-search.squiz.cloud/s/redirect?collection=scholarships-web&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwalter-and-eliza-hall-trust-opportunity-disability-scholarship-5780%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Ffees-scholarships%2Fscholarships%2Ffind-a-scholarship%2Fwalter-and-eliza-hall-trust-opportunity-disability-scholarship-5780%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Dscholarships-funnelback-index&auth=1EsIdtmn0U%2Btrlu0i4ZLkg&profile=_default&rank=216&query=%21padrenull,Walter and Eliza Hall Trust Opportunity Disability Scholarship,This scholarship has been introduced to support financially disadvantaged students with a diagnosed physical disability.,3 Jan - 16 Feb 2023
